hashtag;timestamp;cnt;followers_count;log_followers_count
apple;2018-06-08 00:00:00;286;2071476;1782.464540866062
apple;2018-06-08 01:00:00;274;2722953;1769.250377578748
apple;2018-06-08 02:00:00;257;2851873;1666.419300829762
apple;2018-06-08 03:00:00;241;3628078;1559.5256788441134
apple;2018-06-08 04:00:00;217;2600157;1428.9439997139914
apple;2018-06-08 05:00:00;310;2708523;1924.7303910857474
apple;2018-06-08 06:00:00;293;2821244;1861.298468923332
apple;2018-06-08 07:00:00;352;1871136;2279.0359689569946
apple;2018-06-08 08:00:00;379;2975559;2151.6177565803514
apple;2018-06-08 09:00:00;406;1922213;2283.2930079981315
apple;2018-06-08 10:00:00;327;2291624;1964.0273177120457
apple;2018-06-08 11:00:00;320;2789017;2133.1864106755675
apple;2018-06-08 12:00:00;397;4314653;2503.8434024242397
apple;2018-06-08 13:00:00;473;7046297;3048.9040419737644
apple;2018-06-08 14:00:00;389;6600951;2522.9384876143245
apple;2018-06-08 15:00:00;402;2858347;2506.049643490591
apple;2018-06-08 16:00:00;409;4944084;2671.1882128317357
apple;2018-06-08 17:00:00;423;4326329;2720.6504890868823
apple;2018-06-08 18:00:00;344;3525597;2264.01374948201
apple;2018-06-08 19:00:00;349;6434753;2308.8771959501414
apple;2018-06-08 20:00:00;357;3608740;2283.040357626546
apple;2018-06-08 21:00:00;380;4900586;2578.4832521131934
apple;2018-06-08 22:00:00;234;3360951;1584.3801904245988
apple;2018-06-08 23:00:00;293;2541346;1732.7183197348895
apple;2018-06-09 00:00:00;253;4421818;1565.2645293295948
apple;2018-06-09 01:00:00;288;3497765;1910.9327074630614
apple;2018-06-09 02:00:00;232;2254236;1447.2283768603243
apple;2018-06-09 03:00:00;214;1897451;1257.934865826063
apple;2018-06-09 04:00:00;254;2980088;1416.421178799987
apple;2018-06-09 05:00:00;114;1845708;787.9342660902415
facebook;2018-06-05 20:00:00;114;833162;744.191285187183
facebook;2018-06-05 21:00:00;744;11490391;5012.556733280097
facebook;2018-06-05 22:00:00;46;610730;343.13850880580696
facebook;2018-06-05 23:00:00;0;0;0.0
facebook;2018-06-06 00:00:00;0;0;0.0
facebook;2018-06-06 01:00:00;0;0;0.0
facebook;2018-06-06 02:00:00;0;0;0.0
facebook;2018-06-06 03:00:00;0;0;0.0
facebook;2018-06-06 04:00:00;482;5762096;3097.2629375397105
facebook;2018-06-06 05:00:00;747;18561587;4844.635727126677
facebook;2018-06-06 06:00:00;761;6470219;5008.014278251834
facebook;2018-06-06 07:00:00;991;11446148;6405.531407204077
facebook;2018-06-06 08:00:00;823;12467564;5419.531508747878
facebook;2018-06-06 09:00:00;901;9787044;5812.169157807882
facebook;2018-06-06 10:00:00;923;13906694;5916.434642627953
facebook;2018-06-06 11:00:00;998;16898637;6416.304592046153
facebook;2018-06-06 12:00:00;982;9359059;6199.606673952375
facebook;2018-06-06 13:00:00;1102;18507853;7012.583120808231
facebook;2018-06-06 14:00:00;1217;22976836;7887.316534303354
